Red,Green,Blue
10555,10626,7164
10428,10535,7049
9891,10071,6755
8844,9290,6291
8501,9169,6211
8480,9054,6146
8245,8959,6070
6824,7931,5429
7408,8382,5705
7290,8140,5568
7446,8057,5663
7346,7980,5614
7868,7920,5650
8383,8165,5859
8867,8876,6279
8129,9160,6200
8140,9344,6293
8022,9522,6327
7819,9355,6196
7530,9257,6067
8059,9669,6322
8253,9564,6332
8229,9680,6369
7875,9959,6460
8314,10439,6635
9248,11722,7109
9616,12319,7366
9616,12319,7198
9412,11987,7198
9395,12107,7303
9133,11914,7224
9518,12361,7427
10907,13951,8215
10991,14053,8256
10693,13698,8039
10614,13594,7939
10298,13195,7725
10352,13252,7741
10258,13133,7672
10350,13192,7727
10467,13178,7735
10501,13164,7819
9778,12150,7377
9045,11115,6935
10187,12361,7538
11424,13526,8078
11240,13180,7898
11071,12568,7645
10834,11971,7440
11131,11511,7402
10874,11160,7246
11006,10825,7254
10929,9799,6933
10708,8714,6588
10690,8688,6603
9787,8152,6184
10639,8711,6608
10524,8675,6557
9948,8317,6276
9037,7617,5859
8627,7136,5644
7812,6345,5283
7461,5988,5176
7733,6115,5336
7804,6154,5378
7572,5926,5205
7515,5908,5205
7295,5775,4971
8039,6294,5339
7558,5989,5144
7141,5755,4987
7808,6116,5273
7595,5900,5076
7624,5984,5171
7403,5707,5002
7112,5514,4875
7198,5586,4945
7358,5572,4925
7583,5740,5045
7936,5990,5223
7936,5990,5223
7997,6015,5248
8119,6127,5346
8379,6292,5446
8755,6575,5632
8843,6653,5662
8957,6778,5646
8788,6799,5580
8627,6680,5554
8280,6356,5408
7869,5981,5187
7802,5903,5164
7843,5942,5186
8013,6053,5268
8184,6285,5497
8167,6313,5550
8126,6245,5494
7688,5916,5218
6488,5217,4659
7002,5491,4940
7110,5656,5087
6944,5429,4840
7462,5814,5101
8317,6300,5487
8169,6152,5358
7892,6009,5247
6189,5082,4500
5916,4930,4368
6954,5532,4843
7270,5698,4975
7089,5534,4842
7144,5584,4886
6927,5412,4729
7310,5645,4882
7458,5757,4940
7849,6088,5196
7883,6071,5175
8408,6408,5370
8817,6897,5636
9410,7539,5996
10073,8327,6381
10337,8723,6602
9804,8621,6380
9659,8716,6380
8934,8221,6032
7330,7118,5309
9630,9005,6477
11274,10123,7234
11656,10837,7565
12406,12627,8286
13264,14372,9010
13825,15671,9501
13825,15671,9788
14154,16549,9788
14251,17162,9980
14424,17727,10200
14706,18238,10497
14131,17583,10081
13877,17288,9897
12820,16034,9256
10564,13352,7994
8200,10613,6680
7531,9853,6265
7475,9819,6255
7840,10257,6483
8023,10477,6611
8256,10730,6736
8303,10786,6760
8232,10710,6729
8235,10715,6727
8317,10809,6771
9047,11617,7161
10367,13125,7861
11260,14131,8305
12587,15617,9058
13497,15999,9524
12703,14641,8928
11878,13273,8326
11015,11229,7507
11570,11133,7576
11207,10542,7248
10655,9867,6915
11360,10554,7313
11144,9767,6909
11212,9525,6936
11399,9608,7030
11471,9820,7092
11662,10202,7228
11689,10281,7223
11616,10019,7147
11373,9429,6932
10904,8680,6612
10202,7893,6185
9578,7390,5948
9114,7048,5711
8857,6871,5639
8972,6994,5771
8996,7073,5822
9311,7400,6079
9345,7420,6094
9155,7226,5954
8688,6921,5803
8322,6676,5667
7769,6186,5274
7368,5769,4989
7368,5769,4989
7461,5811,5030
6950,5477,4837
6783,5474,4895
6580,5358,4829
6090,5097,4620
6191,5190,4711
6055,4986,4537
6015,5016,4561
5998,4952,4523
6551,5394,4919
5975,4927,4516
5623,4729,4334
5780,4786,4402
5763,4751,4370
6770,5354,4893
6975,5501,5002
6920,5610,5131
6634,5413,5002
6606,5390,4989
6367,5159,4783
6508,5248,4850
6495,5286,4897
6445,5234,4810
5905,4907,4521
6067,5025,4626
6628,5284,4831
6708,5320,4850
6698,5265,4787
6991,5454,4939
7145,5595,5056
6059,5073,4607
5777,4862,4431
5362,4561,4172
5726,4790,4366
6145,5152,4687
5970,4937,4485
6791,5341,4789
7388,5759,5126
7472,5756,5094
7837,6049,5325
7917,5982,5242
7999,5960,5186
8398,6280,5445
8631,6350,5463
8303,6157,5318
8018,6033,5222
8564,6284,5432
8772,6381,5504
8374,6171,5261
8813,6643,5549
9668,7357,6027
9668,7357,6027
9786,7495,6103
9996,7656,6194
10158,7731,6249
9729,7442,6016
9247,7197,5820
9558,7608,6001
10154,8041,6281
10237,8061,6280
10429,8188,6393
10385,8160,6350
10783,8399,6478
10241,8016,6176
8737,7046,5514
8522,7020,5457
9468,7722,5888
11211,9152,6848
11866,9771,7204
11643,9678,7142
11268,9293,6876
11119,9098,6809
11176,9188,6901
11244,9291,6916
11285,9363,6981
11169,9338,6958
10755,8970,6667
11013,9121,6903
10891,8980,6857
10439,8460,6474
10137,8172,6318
10008,8046,6303
9830,7767,6203
9763,7635,6151
9387,7366,5986
8550,6706,5477
8124,6396,5301
8286,6408,5350
8213,6409,5530
7987,6224,5427
7643,6060,5318
7054,5583,4934
7499,5901,5217
7386,5885,5227
7119,5718,5118
6859,5550,5006
6868,5531,4988
6193,5142,4663
5773,4898,4468
5324,4703,4319
5534,4879,4481
5385,4790,4415
5329,4795,4435
5607,4894,4540
5607,4894,4540
5916,5064,4703
5353,4747,4418
5028,4586,4273
5232,4683,4367
5558,4859,4535
5563,4759,4448
5301,4625,4325
5514,4742,4431
5861,4939,4613
5931,5001,4665
5732,4846,4532
5747,4849,4528
5827,4928,4599
5924,4945,4610
6185,5118,4740
6260,5187,4801
6166,5015,4638
6254,5074,4663
6466,5125,4697
6462,5086,4657
6201,4921,4505
5855,4758,4349
5828,4818,4376
5895,4827,4390
6331,5016,4552
7098,5533,4994
7199,5651,5098
6837,5396,4856
6087,4907,4421
6169,4971,4462
6865,5338,4755
7767,5790,5095
8018,5971,5253
8281,6116,5334
8416,6213,5387
7952,5912,5143
8380,6218,5387
8663,6439,5572
8689,6503,5501
8772,6666,5533
9000,6838,5593
9321,7315,5885
10409,8199,6472
10470,8199,6420
9936,7900,6222
9182,7326,5761
9458,7466,5813
10262,8124,6310
10973,8554,6546
10744,8588,6494
10095,8283,6271
10095,8283,6271
10693,8782,6670
10629,8665,6561
11133,9168,6877
11273,9315,7015
10652,8873,6676
10144,8458,6396
9286,7741,5908
9282,7809,5974
9461,7965,6065
9506,8039,6102
9517,8065,6103
8594,7406,5648
8666,7550,5720
8695,7645,5759
8282,7245,5464
8775,7492,5704
9639,7816,6053
9574,7499,6015
9207,7231,5859
8656,6735,5543
8378,6479,5381
8308,6405,5330
8084,6202,5195
7926,6186,5334
7947,6130,5308
7998,6229,5440
7806,6045,5309
7216,5582,4912
7256,5865,5220
7004,5628,5037
6792,5467,4932
6013,4967,4501
5819,4900,4454
5994,5018,4567
6089,5085,4639
5952,5079,4627
5912,5045,4618
5937,5211,4780
5573,4922,4548
5057,4630,4291
4957,4542,4226
5192,4667,4357
5476,4747,4422
5686,4823,4499
5988,4915,4586
6024,4984,4637
5968,5017,4678
5994,5100,4761
5885,5049,4711
5653,4857,4540
5606,4802,4494
5833,5025,4682
5833,5025,4682
5430,4676,4366
5785,4876,4540
5994,4942,4584
6044,4990,4617
5923,4945,4580
5715,4711,4370
5778,4810,4449
5790,4805,4427
5722,4820,4431
5452,4674,4304
5308,4552,4189
5743,4814,4422
5894,4892,4485
5613,4786,4384
5249,4556,4184
5813,4819,4410
6866,5400,4889
7133,5608,5056
7316,5639,5055
7329,5524,4945
7481,5642,5046
7533,5619,4972
7967,5908,5201
8051,5929,5190
8237,6095,5338
8152,6042,5277
8564,6415,5580
8349,6193,5375
8279,6164,5387
8151,6058,5312
7993,5910,5192
7694,5659,4965
7948,5934,5136
8506,6382,5450
8830,6729,5703
8946,6780,5711
8512,6511,5521
8388,6368,5355
8845,6782,5653
9021,6893,5674
9507,7202,5846
9741,7583,6060
10103,8122,6376
10766,8510,6675
10466,8103,6345
10376,7923,6193
10599,8258,6454
10204,7999,6233
9556,7587,5973
9646,7722,5954
10130,8131,6177
10130,8131,6303
10176,8259,6303
9236,7733,5912
9541,8079,6157
10533,8684,6496
10646,8715,6524
10549,8617,6444
9913,8221,6203
9323,7765,5886
9105,7583,5758
8950,7550,5746
8978,7657,5833
9122,7714,5876
9222,7774,5900
8799,7460,5698
8731,7451,5742
9071,7615,5870
10005,8124,6275
10131,8177,6343
9736,7756,6094
8895,7129,5632
8697,6985,5633
8593,6841,5592
8684,6875,5620
8803,6810,5587
9062,6964,5740
8826,6783,5604
8713,6656,5533
8728,6700,5586
8240,6334,5385
8171,6394,5507
7977,6241,5427
7581,5906,5197
7414,5836,5163
7287,5821,5177
7120,5724,5109
6541,5320,4814
6182,5139,4729
5848,4942,4568
5552,4862,4503
5569,4946,4572
5375,4812,4465
5508,4952,4592
5733,5094,4739
5865,5186,4834
5727,5084,4750
5698,5058,4722
5683,5041,4705
5666,5028,4691
5663,5021,4684
5630,4990,4660
5610,4979,4655
5587,4963,4646
5587,4963,4646
5564,4944,4627
5540,4925,4610
5515,4907,4594
5500,4899,4587
5463,4867,4554
5401,4829,4524
5239,4750,4448
5085,4739,4431
4914,4577,4293
5247,4749,4445
5263,4774,4472
4612,4442,4164
4386,4246,3987
4690,4468,4189
5269,4863,4553
5311,4799,4493
5111,4678,4377
4829,4522,4232
4877,4530,4232
5587,4887,4554
5803,5052,4702
5940,5111,4745
5933,5086,4705
6058,5195,4784
5766,4935,4549
5605,4797,4420
5708,4900,4515
6115,5066,4646
6234,5110,4685
6601,5332,4858
5957,4881,4435
6580,5281,4749
6830,5451,4879
6689,5236,4668
6821,5317,4749
7183,5639,5019
7606,5877,5204
7642,5779,5097
7717,5788,5082
7638,5856,5140
6824,5362,4752
7576,5726,5023
8369,6258,5439
8291,6106,5337
8378,6160,5357
