Red,Green,Blue
8312,6432,4579
8319,6383,4534
8288,6390,4558
8352,6391,4540
8573,6418,4507
8475,6305,4427
8213,6255,4451
8147,6206,4401
8070,6140,4329
8120,6247,4391
8439,6517,4504
8693,6692,4548
8787,6730,4549
8695,6796,4643
8285,6584,4531
8175,6382,4356
8338,6463,4398
8038,6282,4323
8433,6511,4440
8830,6731,4538
9067,6863,4609
8573,6577,4475
8459,6500,4434
8681,6578,4465
9245,6937,4674
10547,7738,5129
10033,7442,4959
10611,7680,4974
10460,7711,5030
9752,7207,4731
9342,6905,4569
9128,6780,4576
8970,6713,4583
9720,7192,4871
9706,7133,4795
9553,7025,4722
9507,7004,4685
9546,7120,4773
9717,7374,4911
9705,7323,4782
10157,7705,5012
10064,7665,4997
9747,7502,4913
9624,7307,4728
10041,7550,4822
10041,7550,4822
10521,7848,4944
10430,7795,4927
9730,7409,4792
10245,7781,4988
10868,8187,5167
10849,8172,5138
10908,8241,5194
10630,8050,5092
9965,7646,4919
10096,7793,5007
10334,7967,5088
10709,8164,5141
10840,8348,5290
10800,8314,5290
10595,8155,5191
10271,7714,4845
10179,7636,4837
9725,7370,4756
9180,7078,4653
9153,7076,4683
9733,7446,4883
10045,7658,5007
9913,7480,4892
9541,7178,4708
9977,7457,4871
10492,7772,5022
10858,7975,5113
11339,8304,5353
11207,8124,5200
10855,7982,5151
10254,7629,4966
9820,7370,4784
9736,7364,4816
9804,7342,4789
9801,7306,4776
9317,7050,4692
9488,7148,4712
9434,6991,4564
10382,7773,5059
11043,8006,5028
10906,7939,4968
10724,7854,4962
10363,7863,5092
10474,8025,5116
9843,7572,4852
9856,7704,5006
8885,6966,4605
8254,6581,4448
8818,7007,4711
9723,7551,4988
10449,7804,5027
10449,7804,5027
10988,8264,5316
10845,8165,5244
9616,7352,4855
7168,5906,4208
6860,5639,4051
8526,6570,4516
10188,7444,4886
10914,7918,5122
10936,7880,5079
10930,7879,5078
10352,7551,4936
10160,7376,4783
10555,7822,5098
10586,7820,5047
10629,7793,5008
10875,7940,5103
10504,7746,5060
10123,7530,4967
9822,7242,4778
10043,7417,4920
10374,7623,5024
10378,7496,4941
10475,7582,5047
10240,7323,4866
10537,7662,5165
10251,7354,4895
10091,7235,4819
9499,6978,4732
9559,7002,4743
9246,6799,4639
8567,6497,4532
8891,6561,4491
9204,6710,4544
9745,7187,4876
10306,7480,5011
10108,7323,4912
9865,7147,4810
9528,6906,4690
9459,7051,4880
8756,6597,4610
8780,6688,4694
8958,6779,4724
8952,6751,4632
8971,6819,4611
8998,6859,4606
8899,6796,4569
8781,6714,4501
8823,6769,4539
9154,6932,4615
9523,7129,4687
9168,6918,4596
8903,6801,4575
8903,6801,4575
8856,6792,4580
9370,7070,4711
9838,7328,4834
9866,7213,4710
10665,7892,5184
10236,7646,5073
9881,7379,4904
9894,7384,4899
9980,7414,4893
10996,7983,5129
11123,8033,5127
10810,7890,5062
10302,7612,4937
9849,7454,4941
8930,6875,4653
8456,6402,4323
8845,6675,4534
9000,6845,4657
8822,6701,4562
8072,6268,4360
8281,6328,4351
8690,6597,4492
8956,6755,4573
9243,6939,4677
9364,7025,4730
9132,6821,4592
8575,6486,4415
8138,6274,4333
7965,6323,4434
7644,6149,4326
7719,6305,4454
7836,6396,4470
7787,6296,4347
7698,6274,4323
7425,6106,4220
7474,6159,4269
7941,6430,4380
7998,6456,4437
9801,7479,4935
11296,8239,5220
11609,8420,5315
11064,8071,5117
11477,8305,5221
11493,8287,5175
10115,7584,4896
9586,7303,4783
9204,7144,4734
9057,7037,4634
9787,7485,4836
9462,7255,4710
9328,7111,4621
9328,7111,4621
9559,7261,4722
9560,7197,4657
9723,7319,4781
10249,7589,4930
10124,7497,4904
10312,7623,4986
9997,7426,4880
9937,7440,4856
9550,7191,4704
9383,7102,4666
9518,7184,4698
9435,7137,4680
9214,7073,4729
8962,6841,4580
9133,6938,4631
9316,7099,4731
9552,7238,4789
9797,7242,4673
9915,7252,4637
9169,6794,4456
9124,7000,4708
9315,7148,4790
10044,7358,4724
10360,7568,4835
10621,7806,4973
10839,8126,5200
10834,8191,5212
10971,8413,5398
10442,7938,5067
10305,7846,5044
10355,7849,5014
10234,7808,5026
10399,7872,5018
10270,7741,4932
9855,7489,4844
9423,7303,4849
9856,7485,4918
9835,7253,4710
9573,7297,4868
9487,7249,4826
9200,7050,4731
8530,6557,4467
8172,6277,4336
8557,6583,4570
9341,6806,4554
9936,7023,4556
10188,7274,4737
10325,7399,4801
10428,7588,4978
10469,7617,4974
10330,7526,4913
9749,7233,4788
9749,7233,4788
9541,7083,4681
8446,6457,4411
8395,6370,4333
9197,6863,4589
8218,6276,4295
8045,6176,4265
8813,6633,4518
9083,6805,4610
9392,6971,4697
9520,7113,4824
8816,6611,4549
8245,6269,4400
8499,6365,4459
9673,7021,4794
10369,7480,5061
9755,7105,4839
8426,6352,4450
8473,6390,4480
7725,6080,4377
7956,6104,4338
7907,5973,4204
7757,5875,4155
8109,6145,4346
8337,6399,4565
9100,6723,4688
9189,6667,4592
8837,6540,4561
8921,6628,4626
8752,6545,4589
8321,6276,4421
8347,6344,4439
9089,6873,4650
8757,6694,4515
8517,6652,4565
8886,6980,4776
8553,6627,4504
8808,6770,4577
8201,6380,4391
8656,6660,4543
9202,6946,4665
9654,7187,4771
9341,7005,4703
9940,7282,4789
10739,7628,4881
10964,7907,5117
11392,8236,5328
11021,7951,5176
10981,8064,5348
11202,8030,5212
11535,8206,5257
11559,8154,5174
11559,8154,5174
11526,8175,5216
11391,8073,5144
11889,8352,5279
11802,8416,5390
11796,8435,5431
11727,8353,5366
11715,8252,5289
11405,8020,5188
11090,7910,5173
