Red,Green,Blue
13252,15243,8452
12648,14545,8121
12798,14739,8177
13757,15895,8715
13531,15660,8604
13495,15576,8553
14112,16286,8881
14427,16660,9055
14194,16417,8944
14372,16571,9013
15322,17644,9536
15092,17387,9411
15225,17523,9477
15768,18170,9792
15868,18290,9851
15588,17946,9721
15627,17996,9785
15627,17996,9496
15166,17498,9496
14942,17277,9385
15118,17574,9537
15342,17866,9676
15059,17574,9550
15005,17498,9519
15466,18015,9786
15385,17916,9774
15409,17906,9762
15311,17762,9701
15098,17503,9583
14622,16983,9314
14128,16437,9042
14141,16431,9047
14060,16386,9027
13496,15827,8738
14267,16758,9148
14139,16655,9089
13712,16127,8841
14091,16568,9058
14555,17243,9409
14522,17228,9400
14075,16739,9183
14260,16998,9314
14090,16788,9214
13684,16299,8974
13888,16540,9091
14304,17044,9316
14196,16914,9251
14051,16739,9143
14788,17546,9505
14484,17060,9294
15214,17965,9708
15291,18086,9757
14910,17659,9538
14732,17445,9439
14874,17625,9529
14936,17714,9559
13290,15824,8672
12334,14671,8130
13225,15740,8630
14241,16955,9220
13231,15687,8662
13155,15575,8630
13593,16076,8902
14463,17174,9434
14295,16991,9357
14295,16968,9348
13657,16117,8915
13905,16405,9041
13895,16372,9023
13975,16498,9072
13975,16498,9072
13964,16471,9037
14253,16810,9175
14017,16493,9036
13228,15538,8586
13106,15411,8529
13993,16527,9067
14081,16659,9141
14145,16791,9246
13509,15965,8882
12261,14416,8165
12763,14983,8467
14503,17066,9507
15090,17794,9878
15093,17807,9882
15070,17788,9877
15114,17835,9907
14977,17677,9818
14950,17646,9802
15013,17719,9848
14720,17391,9655
14249,16901,9326
13988,16626,9137
13402,15905,8748
13462,15963,8770
13583,16116,8843
13871,16500,9040
14020,16673,9114
13965,16551,9044
14065,16657,9104
14187,16799,9182
14086,16705,9154
14285,16929,9278
14542,17243,9443
14638,17404,9531
14819,17638,9643
14834,17678,9647
14839,17692,9634
14621,17441,9479
14513,17326,9403
14451,17250,9370
14302,17066,9262
14513,17287,9359
14610,17395,9413
14581,17358,9390
14775,17545,9486
13257,15667,8616
13162,15522,8550
14426,17029,9276
14049,16582,9072
14187,16762,9141
14426,17145,9330
14426,17145,9149
14035,16714,9149
13227,15737,8718
13534,16104,8908
13350,15879,8793
12834,15260,8497
11766,13964,7881
11191,13262,7546
11360,13472,7642
11577,13738,7758
11702,13891,7799
12677,15033,8341
12725,15100,8394
12058,14264,7985
13297,15762,8709
13306,15754,8715
13185,15631,8662
13288,15720,8699
12576,14751,8235
12879,15073,8370
12484,14594,8152
12805,14961,8333
13351,15585,8612
12987,15131,8411
12018,13961,7870
12813,14860,8306
13230,15321,8531
13726,15862,8802
13740,15857,8795
13584,15667,8696
13540,15613,8660
13164,15148,8430
11441,13146,7492
10979,12625,7246
12086,13874,7841
12251,14053,7939
12314,14084,7957
13123,15004,8397
13081,14948,8357
13697,15651,8673
14347,16416,9025
15033,17239,9409
15501,17783,9659
15691,18002,9765
15775,18090,9799
15910,18243,9879
16098,18433,9978
16114,18425,9983
16032,18303,9940
13393,15218,8463
12373,14075,7918
11633,13273,7527
12981,14794,8254
12981,14794,8254
14499,16569,9133
14479,16544,9124
12404,14102,7950
10182,11579,6736
11113,12568,7190
12634,14280,7993
13339,15064,8375
13843,15639,8673
13260,15002,8357
10649,12140,7004
12733,14523,8108
13882,15831,8726
14250,16268,8939
13999,16002,8812
12819,14621,8160
11628,13259,7525
11505,13125,7449
11310,12927,7345
11520,13226,7472
11311,13059,7375
10784,12499,7111
11351,13162,7397
12712,14754,8129
12884,14942,8226
11928,13777,7682
10683,12330,7009
10593,12221,6954
10171,11737,6730
10079,11630,6679
9191,10650,6233
9340,10814,6302
10101,11654,6679
11249,12969,7276
11538,13303,7426
10712,12346,6992
8788,10187,6018
8613,9991,5928
10385,11952,6821
10955,12579,7108
9807,11273,6513
8943,10292,6070
9055,10369,6107
9499,10818,6308
11046,12491,7077
11074,12537,7096
9383,10733,6268
7314,8538,5289
7249,8477,5265
8655,10000,5952
10402,11922,6823
12322,14109,7826
12322,14109,8472
13500,15496,8472
13486,15482,8462
